la_code,la,gor,phec,pher,tests.male.15-19,tests.male.20-24,tests.male.total,tests.female.15-19,tests.female.20-24,tests.female.total,tests.total.15-19,tests.total.20-24,tests.total,positives.male.15-19,positives.male.20-24,positives.male.total,positives.female.15-19,positives.female.20-24,positives.female.total,positives.total.15-19,positives.total.20-24,positives.total,population.male.15-19,population.male.20-24,population.female.15-19,population.female.20-24,population.total
E09000002,Barking and Dagenham,london,London,London,1741,1466,3207,2354,2811,5165,4106,4277,8383,83,110,193,233,174,407,317,284,601,6672,6484,6137,6532,25825
E09000003,Barnet,london,London,London,491,1514,2005,1568,3591,5159,2070,5117,7187,46,138,184,148,232,380,194,370,564,10694,11651,9883,11938,44166
E09000004,Bexley,london,London,London,631,990,1621,1355,1795,3150,1988,2789,4777,55,80,135,134,121,255,189,201,390,7850,7582,7705,7709,30846
E09000005,Brent,london,London,London,1209,2818,4027,2478,5259,7737,3702,8113,11815,98,228,326,234,331,565,333,560,893,9809,11764,8587,11081,41241
E09000006,Bromley,london,London,London,1049,1278,2327,1935,2573,4508,2997,3872,6869,59,110,169,138,139,277,199,249,448,9289,7845,8810,8460,34404
E09000007,Camden,london,London,London,1225,2310,3535,3182,6368,9550,4666,8817,13483,91,174,265,244,341,585,358,525,883,5915,10708,5777,12163,34563
E09000001,City of London,london,London,London,12,25,37,12,88,100,24,113,137,0,2,2,2,5,7,2,7,9,113,232,118,263,726
E09000008,Croydon,london,London,London,1570,2360,3930,3442,4996,8438,5017,7364,12381,146,287,433,417,392,809,563,679,1242,12161,11330,11377,11696,46564
E09000009,Ealing,london,London,London,1126,1811,2937,1842,3359,5201,2980,5188,8168,47,142,189,129,204,333,177,346,523,9660,11740,8980,11077,41457
E09000010,Enfield,london,London,London,609,1353,1962,1852,3732,5584,2478,5113,7591,44,80,124,136,193,329,180,273,453,10808,10346,9714,10974,41842
E09000011,Greenwich,london,London,London,2315,3061,5376,2939,4281,7220,5273,7382,12655,118,262,380,270,246,516,389,511,900,8189,10306,7618,9860,35973
E09000012,Hackney,london,London,London,969,3068,4037,2852,7018,9870,3828,10109,13937,122,285,407,298,398,696,420,683,1103,6538,9238,6776,10428,32980
E09000013,Hammersmith and Fulham,london,London,London,290,1446,1736,872,2939,3811,1164,4394,5558,29,140,169,97,196,293,126,336,462,3627,7445,3645,7656,22373
E09000014,Haringey,london,London,London,958,2679,3637,2499,5641,8140,3763,8702,12465,141,332,473,334,441,775,507,800,1307,7201,9335,7015,9153,32704
E09000015,Harrow,london,London,London,408,827,1235,863,1628,2491,1273,2463,3736,37,90,127,85,112,197,122,202,324,8092,8004,7103,7516,30715
E09000016,Havering,london,London,London,1285,1350,2635,2530,2457,4987,3819,3810,7629,54,84,138,151,130,281,205,214,419,7724,7619,7492,7618,30453
E09000017,Hillingdon,london,London,London,2379,2413,4792,3053,3881,6934,5440,6301,11741,79,138,217,184,186,370,263,325,588,9607,11788,8936,10953,41284
E09000018,Hounslow,london,London,London,1990,1769,3759,1831,2936,4767,3882,4788,8670,107,168,275,152,182,334,260,355,615,7589,9181,6981,8728,32479
E09000019,Islington,london,London,London,421,1895,2316,1292,4546,5838,1731,6518,8249,45,195,240,113,259,372,160,462,622,5008,9284,5060,10728,30080
E09000020,Kensington and Chelsea,london,London,London,314,1118,1432,717,2113,2830,1031,3231,4262,23,88,111,64,121,185,87,209,296,3115,5070,2936,5097,16218
E09000021,Kingston upon Thames,london,London,London,591,1348,1939,1339,2884,4223,1934,4236,6170,26,98,124,89,191,280,115,289,404,4589,6734,4686,7519,23528
E09000022,Lambeth,london,London,London,1680,5704,7384,4612,10997,15609,6588,17301,23889,252,584,836,682,827,1509,992,1474,2466,7126,11621,6895,13205,38847
E09000023,Lewisham,london,London,London,1537,3239,4776,4075,7596,11671,5620,10849,16469,216,361,577,454,498,952,671,859,1530,7905,9888,7906,10851,36550
E09000024,Merton,london,London,London,555,1200,1755,1078,2128,3206,1633,3329,4962,33,128,161,99,118,217,132,246,378,5451,5696,4877,5882,21906
E09000025,Newham,london,London,London,1697,3283,4980,2791,5580,8371,4494,8878,13372,121,235,356,289,343,632,411,579,990,10067,16711,10122,13794,50694
E09000026,Redbridge,london,London,London,1559,1583,3142,2334,3003,5337,3905,4601,8506,71,89,160,170,151,321,241,240,481,9229,9692,8767,9140,36828
E09000027,Richmond upon Thames,london,London,London,449,941,1390,1039,1856,2895,1490,2802,4292,11,63,46,35,98,133,46,161,207,4438,4103,4401,4543,17485
E09000028,Southwark,london,London,London,1152,3592,4744,3180,7446,10626,4576,11347,15923,140,347,487,378,472,850,555,851,1406,7583,12596,7397,14748,42324
E09000029,Sutton,london,London,London,617,1115,1732,1554,1960,3514,2176,3081,5257,36,103,139,132,120,252,168,223,391,5928,5052,5643,5409,22032
E09000030,Tower Hamlets,london,London,London,1668,3294,4962,1515,5537,7052,3190,8847,12037,33,204,237,128,298,426,161,504,665,7104,13841,6980,15222,43147
E09000031,Waltham Forest,london,London,London,2378,2411,4789,2347,3521,5868,4755,5957,10712,80,179,259,195,238,433,277,417,694,7764,10086,7293,9577,34720
E09000032,Wandsworth,london,London,London,1009,2879,3888,2205,6101,8306,3222,9009,12231,87,259,346,231,401,632,321,660,981,5852,8932,5972,11966,32722
E09000033,Westminster,london,London,London,503,1647,2150,1062,3043,4105,1567,4692,6259,31,129,160,84,195,279,115,324,439,5359,8156,5020,8499,27034
E06000055,Bedford,eastern,South Midlands and Hertfordshire,Midlands and East of England,677,1252,1929,1876,2085,3961,2562,3348,5910,80,163,243,197,211,408,278,374,652,5472,4768,4911,4899,20050
E06000056,Central Bedfordshire,eastern,South Midlands and Hertfordshire,Midlands and East of England,645,864,1509,1438,2036,3474,2086,2904,4990,34,90,124,100,133,233,134,223,357,8057,7306,7265,6699,29327
E10000015,Hertfordshire,eastern,South Midlands and Hertfordshire,Midlands and East of England,4391,5121,9512,9685,11970,21655,14761,18654,33415,225,510,735,668,740,1408,989,1428,2417,35190,32170,33871,32065,133296
E06000032,Luton,eastern,South Midlands and Hertfordshire,Midlands and East of England,489,1110,1599,1332,2201,3533,1824,3315,5139,43,99,142,109,128,237,152,228,380,6991,8345,6747,7819,29902
E06000042,Milton Keynes,south east,South Midlands and Hertfordshire,Midlands and East of England,1264,1102,2366,3137,3379,6516,4489,4549,9038,81,169,250,195,223,418,280,398,678,7820,6590,7020,6952,28382
E10000021,Northamptonshire,east midlands,South Midlands and Hertfordshire,Midlands and East of England,2688,3911,6599,5895,7415,13310,8678,11411,20089,164,394,558,491,527,1018,661,932,1593,21987,20111,20290,19769,82157
E06000015,Derby,east midlands,East Midlands,Midlands and East of England,1444,1355,2799,2937,3175,6112,4432,4606,9038,98,204,302,278,277,555,379,486,865,8475,10461,8013,9920,36869
E10000007,Derbyshire,east midlands,East Midlands,Midlands and East of England,6151,4173,10324,9346,8416,17762,15512,12602,28114,216,352,568,619,548,1167,836,900,1736,23901,21193,22652,20433,88179
E06000016,Leicester,east midlands,East Midlands,Midlands and East of England,2072,3302,5374,4410,6699,11109,6520,10062,16582,110,210,320,307,431,738,417,644,1061,11849,17329,11761,18948,59887
E10000018,Leicestershire ,east midlands,East Midlands,Midlands and East of England,4632,4254,8886,6901,6827,13728,11603,11133,22736,166,338,504,409,427,836,577,770,1347,22601,22264,20246,19741,84852
E10000019,Lincolnshire,east midlands,East Midlands,Midlands and East of England,3927,4064,7991,6728,6976,13704,10692,11072,21764,208,386,594,559,487,1046,771,873,1644,22121,21011,21469,21058,85659
E06000018,Nottingham,east midlands,East Midlands,Midlands and East of England,2163,4272,6435,5957,9956,15913,8132,14250,22382,188,390,578,595,713,1308,783,1106,1889,12851,23127,12881,22722,71581
E10000024,Nottinghamshire,east midlands,East Midlands,Midlands and East of England,1363,2975,4338,6244,8030,14274,7618,11013,18631,160,439,599,696,626,1322,857,1065,1922,24386,23011,22943,22000,92340
E06000017,Rutland,east midlands,East Midlands,Midlands and East of England,141,315,456,241,189,430,385,515,900,6,26,32,14,14,28,20,40,60,1583,939,1342,689,4553
