Current code,Former code,Geography name,type
E06000001,00EB,Hartlepool,Unitary Authority
E06000002,00EC,Middlesbrough,Unitary Authority
E06000003,00EE,Redcar and Cleveland,Unitary Authority
E06000004,00EF,Stockton-on-Tees,Unitary Authority
E06000005,00EH,Darlington,Unitary Authority
E06000006,00ET,Halton,Unitary Authority
E06000007,00EU,Warrington,Unitary Authority
E06000008,00EX,Blackburn with Darwen,Unitary Authority
E06000009,00EY,Blackpool,Unitary Authority
E06000010,00FA,"Kingston upon Hull, City of",Unitary Authority
E06000011,00FB,East Riding of Yorkshire,Unitary Authority
E06000012,00FC,North East Lincolnshire,Unitary Authority
E06000013,00FD,North Lincolnshire,Unitary Authority
E06000014,00FF,York,Unitary Authority
E06000015,00FK,Derby,Unitary Authority
E06000016,00FN,Leicester,Unitary Authority
E06000017,00FP,Rutland,Unitary Authority
E06000018,00FY,Nottingham,Unitary Authority
E06000019,00GA,"Herefordshire, County of",Unitary Authority
E06000020,00GF,Telford and Wrekin,Unitary Authority
E06000021,00GL,Stoke-on-Trent,Unitary Authority
E06000022,00HA,Bath and North East Somerset,Unitary Authority
E06000023,00HB,"Bristol, City of",Unitary Authority
E06000024,00HC,North Somerset,Unitary Authority
E06000025,00HD,South Gloucestershire,Unitary Authority
E06000026,00HG,Plymouth,Unitary Authority
E06000027,00HH,Torbay,Unitary Authority
E06000028,00HN,Bournemouth,Unitary Authority
E06000029,00HP,Poole,Unitary Authority
E06000030,00HX,Swindon,Unitary Authority
E06000031,00JA,Peterborough,Unitary Authority
E06000032,00KA,Luton,Unitary Authority
E06000033,00KF,Southend-on-Sea,Unitary Authority
E06000034,00KG,Thurrock,Unitary Authority
E06000035,00LC,Medway,Unitary Authority
E06000036,00MA,Bracknell Forest,Unitary Authority
E06000037,00MB,West Berkshire,Unitary Authority
E06000038,00MC,Reading,Unitary Authority
E06000039,00MD,Slough,Unitary Authority
E06000040,00ME,Windsor and Maidenhead,Unitary Authority
E06000041,00MF,Wokingham,Unitary Authority
E06000042,00MG,Milton Keynes,Unitary Authority
E06000043,00ML,Brighton and Hove,Unitary Authority
E06000044,00MR,Portsmouth,Unitary Authority
E06000045,00MS,Southampton,Unitary Authority
E06000046,00MW,Isle of Wight,Unitary Authority
E06000047,00EJ,County Durham,Unitary Authority
E06000048,00EM,Northumberland,Unitary Authority
E06000049,00EQ,Cheshire East,Unitary Authority
E06000050,00EW,Cheshire West and Chester,Unitary Authority
E06000051,00GG,Shropshire,Unitary Authority
E06000052,00HE,Cornwall,Unitary Authority
E06000053,00HF,Isles of Scilly,Unitary Authority
E06000054,00HY,Wiltshire,Unitary Authority
E06000055,00KB,Bedford,Unitary Authority
E06000056,00KC,Central Bedfordshire,Unitary Authority
E09000001,00AA,City of London,London Borough
E09000002,00AB,Barking and Dagenham,London Borough
E09000003,00AC,Barnet,London Borough
E09000004,00AD,Bexley,London Borough
E09000005,00AE,Brent,London Borough
E09000006,00AF,Bromley,London Borough
E09000007,00AG,Camden,London Borough
E09000008,00AH,Croydon,London Borough
E09000009,00AJ,Ealing,London Borough
E09000010,00AK,Enfield,London Borough
E09000011,00AL,Greenwich,London Borough
E09000012,00AM,Hackney,London Borough
E09000013,00AN,Hammersmith and Fulham,London Borough
E09000014,00AP,Haringey,London Borough
E09000015,00AQ,Harrow,London Borough
E09000016,00AR,Havering,London Borough
E09000017,00AS,Hillingdon,London Borough
E09000018,00AT,Hounslow,London Borough
E09000019,00AU,Islington,London Borough
E09000020,00AW,Kensington and Chelsea,London Borough
E09000021,00AX,Kingston upon Thames,London Borough
E09000022,00AY,Lambeth,London Borough
E09000023,00AZ,Lewisham,London Borough
E09000024,00BA,Merton,London Borough
E09000025,00BB,Newham,London Borough
E09000026,00BC,Redbridge,London Borough
E09000027,00BD,Richmond upon Thames,London Borough
E09000028,00BE,Southwark,London Borough
E09000029,00BF,Sutton,London Borough
E09000030,00BG,Tower Hamlets,London Borough
E09000031,00BH,Waltham Forest,London Borough
E09000032,00BJ,Wandsworth,London Borough
E09000033,00BK,Westminster,London Borough
E08000001,00BL,Bolton,Metropolitan District
E08000002,00BM,Bury,Metropolitan District
E08000003,00BN,Manchester,Metropolitan District
E08000004,00BP,Oldham,Metropolitan District
E08000005,00BQ,Rochdale,Metropolitan District
E08000006,00BR,Salford,Metropolitan District
E08000007,00BS,Stockport,Metropolitan District
E08000008,00BT,Tameside,Metropolitan District
E08000009,00BU,Trafford,Metropolitan District
E08000010,00BW,Wigan,Metropolitan District
E08000011,00BX,Knowsley,Metropolitan District
E08000012,00BY,Liverpool,Metropolitan District
E08000013,00BZ,St. Helens,Metropolitan District
E08000014,00CA,Sefton,Metropolitan District
E08000015,00CB,Wirral,Metropolitan District
E08000016,00CC,Barnsley,Metropolitan District
E08000017,00CE,Doncaster,Metropolitan District
E08000018,00CF,Rotherham,Metropolitan District
E08000019,00CG,Sheffield,Metropolitan District
E08000020,00CH,Gateshead,Metropolitan District
E08000021,00CJ,Newcastle upon Tyne,Metropolitan District
E08000022,00CK,North Tyneside,Metropolitan District
E08000023,00CL,South Tyneside,Metropolitan District
E08000024,00CM,Sunderland,Metropolitan District
E08000025,00CN,Birmingham,Metropolitan District
E08000026,00CQ,Coventry,Metropolitan District
E08000027,00CR,Dudley,Metropolitan District
E08000028,00CS,Sandwell,Metropolitan District
E08000029,00CT,Solihull,Metropolitan District
E08000030,00CU,Walsall,Metropolitan District
E08000031,00CW,Wolverhampton,Metropolitan District
E08000032,00CX,Bradford,Metropolitan District
E08000033,00CY,Calderdale,Metropolitan District
E08000034,00CZ,Kirklees,Metropolitan District
