"dage","whnchlamNot applicable","whnchlamLess than 1 year ago","whnchlamBetween 1 and 5 years ago","whnchlamBetween 5 and 10 years ago","whnchlamMore than 10 years ago","whnchlamNot answered","se.whnchlamNot applicable","se.whnchlamLess than 1 year ago","se.whnchlamBetween 1 and 5 years ago","se.whnchlamBetween 5 and 10 years ago","se.whnchlamMore than 10 years ago","se.whnchlamNot answered"
16,0.97788147410113,0.01114612771246,0,0,0,0.0109723981864098,0.00783450842386478,0.00633397422895283,0,0,0,0.00465784857125279
17,0.969928918131223,0.00756970184916677,0.00306227657586854,0,0,0.0194391034437416,0.00824591875136348,0.00400165799086137,0.00218303237061611,0,0,0.00696182975104749
18,0.947530544200709,0.0251162106255335,0.018196824376717,0,0.00143903843961173,0.00771738235742838,0.0102710486778177,0.00729508718631761,0.00623394166796237,0,0.00143878580813104,0.00411838392972952
19,0.912141373304691,0.0265002508734237,0.0519496775541066,0,0,0.00940869826777868,0.0154852267606412,0.00807357704185719,0.0118565130702004,0,0,0.0066321923630565
20,0.936918980994928,0.0178078871994604,0.0367587622863544,0.0032359078306719,0,0.00527846168858537,0.0121356053237543,0.00778999408545146,0.00905407525292283,0.00188026633301962,0,0.00274309629932564
21,0.880015783112829,0.0327631193185501,0.0465262207350035,0.00876907389597658,0,0.0319258029376409,0.0170862662039058,0.00891863874264115,0.0109217562701029,0.00414246289020663,0,0.010030325102119
22,0.902386003136783,0.015077934050056,0.068477758371343,0.0112001562054251,0,0.00285814823639323,0.0152711416932418,0.0057544306084593,0.0131067290502105,0.00460459955874885,0,0.00285514510846898
23,0.848699769030908,0.0303750615190534,0.0721819232167266,0.0174522113696977,0.00209031093198735,0.0292007239316273,0.0199219533854579,0.00949640474876673,0.0137370871287261,0.00645359829121999,0.00208916455464174,0.0112365341619945
24,0.858067834791549,0.00932148594519169,0.0708228850596424,0.0317506872425504,0,0.0300371069610663,0.0220456462387616,0.00685197601582998,0.0167936036863176,0.00895555965453708,0,0.0115761096012689
25,0.869757609437518,0.0107715816412693,0.0703975241921591,0.0183338876131232,0,0.0307393971159307,0.0172292971719556,0.00551582805372653,0.0137296802056344,0.00621110204028261,0,0.00866352105321132
